774,31,49,15,13,10,10,6,42,50
40,776,13,9,4,0,8,6,9,135
97,12,500,63,93,96,65,40,14,20
47,20,76,433,72,200,60,44,6,42
46,7,109,76,530,56,60,96,12,8
21,8,58,159,48,585,34,63,9,15
14,12,60,86,49,41,705,13,3,17
24,8,34,47,65,92,14,679,1,36
181,76,17,16,5,10,4,7,620,64
61,128,11,15,9,10,8,15,27,716
