1,1,0,0,0,2,1,0,0,1,3,1,0,0,0,0,1,0,0,0,56,0,0,0,1,6,2,0,0,1,0,0,1,0,0,0,1,0,0,0,3,0,0,0,0,0,1,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,2,0,1,0,2,1,0,0,0,0,0,0,0
0,0,0,10,0,0,1,0,2,0,1,0,0,0,0,0,0,0,1,0,0,52,1,0,0,0,0,0,0,1,2,2,1,0,0,0,0,1,1,1,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1
0,2,1,0,0,0,0,1,2,0,6,0,0,3,0,0,0,0,0,0,0,0,29,2,0,0,2,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,2,0,1,2,0,1,0,0,0,0,0,2,0,0,2,1,0,0,7,1,0,0,0,0,0,0,0,1,0,0,2,0,1,1,0,3,0,0,0,0,2,1,0,4,3,3,0,0,0,1,1,2,1,0,0,2,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,61,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,2,1,0,0,0,0,1,1,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,0,2,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,1,0,2,5,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,53,0,1,0,1,4,0,0,0,0,0,1,1,0,0,0,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,7,0,0,3,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0
0,0,0,0,0,8,0,0,1,0,1,0,2,0,0,0,0,0,1,0,2,1,0,3,1,25,2,0,1,0,0,0,2,4,1,0,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,2,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,4,0,0,3,2,3,5,0,1,1,1,0,0,3,0,2,1,1,0
0,3,1,1,2,0,3,1,2,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,21,1,0,3,0,0,1,1,0,0,2,0,1,3,0,0,1,0,0,8,3,1,3,0,1,0,0,0,1,1,0,0,1,1,0,3,0,0,0,0,1,2,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,1,3,0,2,0,1,1,0,0,2,1,0,0,0,2,0,2
0,0,0,1,1,3,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,2,0,3,0,19,2,0,3,0,1,2,0,0,0,1,2,2,0,0,4,2,7,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,6,2,1,1,2,1,0,0,1,0,1,3,2,0,0,4,1,0,2,0,0,1,3,0,0,1,0,0,2,0,1,0,0,1,0,0,0
0,0,2,0,0,1,0,0,0,1,4,0,0,0,0,0,0,0,0,0,2,0,1,2,1,0,0,0,48,0,0,0,1,0,0,0,1,0,0,0,16,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,2,0,0,0,4,1,0,0,1,1,2,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
0,0,0,1,2,1,3,0,1,0,0,2,0,0,0,0,0,1,1,1,1,1,0,0,6,0,1,0,0,27,0,8,1,1,0,0,1,2,0,1,1,0,1,2,0,1,0,0,1,0,0,1,0,0,1,2,3,1,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,1,2,0,1,0,4,0,0,0,2,0,0,1,2,0,0
