epoch,train_loss,train_accuracy,val_loss,val_accuracy,train_seconds,validation_seconds
1,4.133328937572903,0.08751111111111111,3.6504218578338623,0.1564,232.95308750000004,7.9093370000000505
2,3.549102501381768,0.1681777777777778,3.293828010559082,0.2188,205.82091119999995,7.436608200000137
3,3.272079180484348,0.21224444444444446,3.09444522857666,0.2508,183.68368680000003,6.162401299999601
4,3.1020810336642795,0.2401111111111111,2.997105836868286,0.26,160.9251718999999,6.165378500000315
5,2.9665099096510144,0.26935555555555557,2.906306743621826,0.2778,155.92046879999998,6.241058800000246
6,2.8724376076592337,0.2868222222222222,2.8376379013061523,0.2898,180.3157127999998,6.133990100000119
7,2.7947216792212592,0.30062222222222224,2.8033297061920166,0.2974,166.82166229999984,7.606550500000139
8,2.740196226416694,0.3080222222222222,2.7756755352020264,0.3022,182.0670438999996,8.827997000000323
9,2.668225301276313,0.32597777777777776,2.7448134422302246,0.3078,167.25890560000062,5.70753490000061
10,2.628736991458469,0.33093333333333336,2.8185501098632812,0.3,135.31920609999997,5.395623000000342
11,2.5855229528215196,0.33675555555555553,2.713388204574585,0.3128,139.81656420000036,5.251993599999878
12,2.5339756409962972,0.3471111111111111,2.6916356086730957,0.3196,133.7081149000005,5.456763400000455
