0,1,1,0,0,0,0,0,1,0,4,2,0,1,0,1,2,0,0,0,0,1,23,0,0,0,0,1,1,0,0,0,1,2,0,0,0,0,0,3,4,0,0,0,1,0,0,0,1,1,0,1,0,3,0,0,0,1,1,0,0,6,0,0,2,1,2,0,0,0,1,0,0,0,0,0,2,0,3,1,0,1,0,2,0,0,4,4,1,2,0,0,0,1,1,1,1,2,4,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,56,0,0,0,0,1,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,7,0,13,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,55,1,0,0,0,0,0,0,1,1,0,3,1,0,0,1,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,1,0,0,0,7,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,3
1,2,1,1,0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,2,0,31,0,0,2,0,0,1,1,3,0,0,1,1,0,2,3,0,0,1,0,0,0,2,0,1,2,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,1,1,0,0,2,0,1,0,0,0,1,0,0,0,0,1,1,1,6,0,0,2,1,0,0,3,0,0,0,0,4
2,3,1,0,3,0,1,0,2,0,1,0,0,0,0,0,0,1,0,0,1,0,2,0,2,1,16,1,0,0,0,1,1,2,0,2,1,0,0,1,0,0,1,1,0,2,1,0,0,0,2,2,0,4,1,1,0,0,0,0,0,1,1,0,1,0,0,2,1,0,4,0,1,1,3,0,0,1,2,0,1,0,1,0,2,1,4,0,0,0,0,3,0,3,0,0,0,1,3,3
0,0,0,1,2,2,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,1,1,0,22,0,0,3,0,0,2,0,0,0,1,3,0,0,1,1,0,8,2,0,1,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,5,2,0,0,0,0,1,6,1,0,2,1,0,3,0,0,0,1,4,0,0,1,0,0,1,0,0,0,0,1,1,0,5
0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,64,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,3,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,4
0,2,0,2,2,1,1,1,1,2,0,0,0,0,2,3,0,3,0,1,2,2,0,0,3,1,0,1,1,23,0,4,0,3,1,0,0,0,0,1,1,1,2,0,2,0,1,1,1,0,1,3,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,1,1,0,0,1,0,0,0,0,2,0,0,1,1,0,0,0,1,0,2,2,1,2,1
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,28,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,9,0,6,0,1,2,13,1,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,3,0,16,0,0,0,1
0,0,0,7,1,0,0,0,2,0,0,0,0,0,0,7,0,2,0,8,0,2,0,0,0,0,0,0,0,5,0,26,0,2,1,0,0,0,1,0,1,0,0,1,0,0,1,2,0,0,1,0,1,0,0,2,1,0,0,0,1,0,0,4,1,0,1,0,0,1,0,0,3,0,2,0,4,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,2,1,0
1,1,0,0,2,0,1,0,0,0,0,0,3,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,25,1,0,1,3,1,0,0,0,0,0,0,0,0,1,1,0,1,3,2,0,1,1,0,1,0,0,0,0,2,0,0,2,0,0,3,1,1,0,1,4,0,2,1,2,2,0,0,4,0,0,1,0,1,0,0,0,1,2,2,0,4,1,1,0,3,2,2
0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,4,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,48,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,1,0,0,2,0,2,0,0,0,1,0,1,0,1,1,3,1,1,0,0,0,0,1,0,1,0,0,0,0,2,0,16,0,0,0
