epoch,train_loss,train_accuracy,val_loss,val_accuracy,train_seconds,validation_seconds
1,1.8813818982866075,0.3082,1.57552170753479,0.4284,19.27052130000004,0.5224458999999797
2,1.579728048578898,0.4179111111111111,1.4125466346740723,0.4972,3.6049483999998984,0.2474945999999818
3,1.4600031720903184,0.46153333333333335,1.3496625423431396,0.5062,3.6961995000000343,0.24435440000002018
4,1.392705946858724,0.48715555555555556,1.2349646091461182,0.5606,3.541542800000002,0.24113899999997557
5,1.3309310654110378,0.5106222222222222,1.1813093423843384,0.5888,3.842090399999961,0.26863479999997253
6,1.2818168547312419,0.5300222222222222,1.123529314994812,0.6022,3.781573900000012,0.25145640000005187
7,1.2524964270061916,0.5423333333333333,1.1499571800231934,0.5904,3.7477804000000106,0.23643249999997806
8,1.223960885281033,0.5541111111111111,1.102476716041565,0.6136,3.834976799999936,0.2379523000000745
9,1.2005295166227552,0.5652888888888888,1.0943483114242554,0.6142,3.7565395999999964,0.24445279999997638
10,1.180462246237861,0.5682666666666667,1.1203131675720215,0.6018,3.824835699999994,0.24504219999994348
