epoch,train_loss,train_accuracy,val_loss,val_accuracy,train_seconds,validation_seconds
1,4.184730497275458,0.08377777777777778,3.657639741897583,0.1572,17.252168800001527,0.966674499999499
2,3.5973801304287383,0.16144444444444445,3.3419981002807617,0.208,7.559964199997921,0.4242005000014615
3,3.306693928146362,0.20771111111111112,3.163301467895508,0.2378,6.1839506000033,0.3810747000025003
4,3.107396074083116,0.24417777777777777,3.007039785385132,0.2642,6.023120199999539,0.35048660000029486
5,2.9565118087768556,0.2690222222222222,2.8973965644836426,0.2908,6.122312399998918,0.39617569999973057
6,2.8524658663007947,0.2902888888888889,2.8621463775634766,0.2944,6.222088799997437,0.4053574000026856
7,2.7696238471137153,0.3005333333333333,2.773397207260132,0.3088,6.445822000001499,0.39192170000023907
8,2.703319703462389,0.3154222222222222,2.776776075363159,0.3036,6.031714500000817,0.4088573999979417
9,2.6366992993248832,0.32635555555555557,2.7084405422210693,0.3256,5.97429380000176,0.34397140000146464
10,2.5887368205176458,0.3347777777777778,2.7621912956237793,0.3094,6.356334200001584,0.39983700000084355
11,2.562074282328288,0.34126666666666666,2.752427339553833,0.3088,8.320641900001647,0.43332960000043386
12,2.517026070912679,0.3488,2.7343063354492188,0.3108,6.790581100001873,0.39922959999967134
