epoch,train_loss,train_accuracy,val_loss,val_accuracy,train_seconds,validation_seconds
1,0.261176238203311,0.9216310809059092,0.10816150158643723,0.9661610268378062,68.63100590000249,2.482907099998556
2,0.07807410696366149,0.9753708264661766,0.07282423973083496,0.9769961660276713,57.44985280000037,2.9104435999979614
3,0.057572511497669274,0.9818892242736246,0.05770466476678848,0.9824970828471412,54.263534900001105,2.654606200001581
4,0.045120146587551466,0.9859632229032795,0.05806184187531471,0.9828304717452909,62.78868390000207,2.722189799998887
5,0.03765137541686433,0.9884631766078406,0.05166362598538399,0.9853308884814136,67.40638150000086,3.211559600000328
