epoch,train_loss,train_accuracy,val_loss,val_accuracy,train_seconds,validation_seconds
1,1.5030755581114028,0.47271111111111114,1.2696341276168823,0.547,14.387351800003671,0.3193042000057176
2,1.1274840575324165,0.6008666666666667,1.1636210680007935,0.5908,8.993041699999594,0.3206433000013931
3,0.992675151401096,0.6507555555555555,1.0699191093444824,0.6222,8.613354599998274,0.3062456000043312
4,0.905629883533054,0.6803333333333333,1.0261645317077637,0.6396,8.709117500002321,0.3003355999971973
5,0.839821506690979,0.7058222222222222,1.0248544216156006,0.6418,8.47292269999889,0.2966307999959099
6,0.7822807808770074,0.7260666666666666,0.9954673647880554,0.6508,8.378317900002003,0.33450830000219867
7,0.731413638888465,0.7444666666666667,1.0185785293579102,0.6548,8.472084399996675,0.32747630000085337
8,0.6872111454010009,0.7599111111111111,1.0221282243728638,0.659,8.474798100003682,0.31060689999867463
9,0.6485398897700839,0.7737111111111111,1.025292158126831,0.654,8.517620899998292,0.3226093999983277
10,0.61013940621482,0.7884,1.0412193536758423,0.6568,8.66577739999775,0.296724699997867
