epoch,train_loss,train_accuracy,val_loss,val_accuracy,train_seconds,validation_seconds
1,4.439730977037218,0.030711111111111113,4.175478935241699,0.057,78.91829900000448,3.923998300000676
2,3.943644563844469,0.09482222222222222,3.7957780361175537,0.1192,77.96803229999932,3.5643447000038577
3,3.644584366692437,0.14384444444444444,3.587603807449341,0.1538,89.66574350000155,4.340401999994356
4,3.4738725974612765,0.17393333333333333,3.452225685119629,0.1744,87.3548140999992,3.705825899996853
5,3.3439323194291855,0.19666666666666666,3.3373820781707764,0.2026,80.02200260000245,3.995414699995308
6,3.2452128316667346,0.2136,3.2916550636291504,0.2038,89.16790339999716,4.282328599998436
7,3.1667291471693253,0.23064444444444446,3.2040765285491943,0.2216,79.24305479999748,3.722850699996343
8,3.099324104732937,0.24086666666666667,3.13834285736084,0.2372,81.00410589999956,3.858422999997856
9,3.0367945556640623,0.25326666666666664,3.1315033435821533,0.2388,82.53610889999982,3.56539260000136
10,2.987970842573378,0.2633333333333333,3.1005282402038574,0.2432,78.02169799999683,3.5546155999982147
11,2.946878230879042,0.27226666666666666,3.0375165939331055,0.254,81.06541450000077,3.899139000001014
12,2.9129420694139267,0.27753333333333335,3.036363363265991,0.2532,81.43865530000039,3.788867900002515
