epoch,train_loss,train_accuracy,val_loss,val_accuracy,train_seconds,validation_seconds
1,4.165735775502522,0.07371111111111112,3.803872585296631,0.133,16.583864600001107,0.6311249999998836
2,3.5731491672515867,0.16748888888888888,3.4468789100646973,0.1908,3.820717100003094,0.30203009999968344
3,3.293829893154568,0.2154888888888889,3.3026840686798096,0.214,3.8381199999967066,0.31406280000010156
4,3.1139310060713026,0.24753333333333333,3.15655255317688,0.2352,3.911592099997506,0.3224753000031342
5,2.985554902436998,0.27255555555555555,3.0306661128997803,0.2564,4.290382700000919,0.29037030000108643
6,2.886316528362698,0.29084444444444446,2.9947376251220703,0.2624,3.7546658999999636,0.28865370000130497
7,2.808216040886773,0.3061333333333333,2.940549612045288,0.278,3.97879710000052,0.32067280000046594
8,2.7449360075208875,0.32037777777777776,2.911364793777466,0.281,4.011519799998496,0.43281520000164164
9,2.68257878879971,0.33215555555555554,2.882936954498291,0.2906,5.599788100000296,0.4147634000000835
10,2.633700793287489,0.3415111111111111,2.830559253692627,0.2946,4.46094230000017,0.3573730999996769
11,2.5840935432010226,0.35024444444444447,2.809281587600708,0.3026,4.329579100001865,0.32791789999828325
12,2.5465510859171547,0.3589111111111111,2.816030502319336,0.2974,3.9052855000009004,0.3028306000014709
