59,2,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,3,1,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,7,0,3,0,0,0,0,0
3,32,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,2,1,1,0,2,0,2,0,1,0,1,0,0,5,1,0,3,0,2,2,0,0,1,0,0,0,0,2,1,1,2,0,0,0,0,2,0,1,2,0,0,0,1,0,0,0,0,3,0,0,0,0,2,1,1,0,1,10,3,0,0,0,0,0,0
4,1,24,0,0,6,2,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,2,0,1,0,0,1,0,0,0,1,2,0,6,6,0,0,2,0,1,0,2,0,2,2,0,0,0,1,0,0,0,4,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0,1,2,1,1,0,2,3,0,1,0,0,0,3,1
0,0,0,9,10,0,1,6,1,1,0,0,0,1,0,0,1,0,0,3,0,17,0,1,1,0,2,0,0,0,1,7,1,2,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,3,0,4,1,0,0,0,0,0,4,0,1,4,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,2,1,0,0,1,0
1,1,1,2,22,1,0,4,0,0,0,0,0,0,2,0,0,0,0,0,1,2,0,0,3,0,1,2,0,1,1,0,0,5,1,0,0,0,0,2,0,0,4,6,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,4,0,5,0,0,4,0,0,2,0,2,0,0,0,2,2,0,0,0,4,0,1,0,0,0,0,0,0
2,0,0,0,2,39,0,0,0,0,1,0,1,0,1,0,0,0,0,1,2,1,1,7,0,2,0,0,0,0,0,0,1,1,0,1,4,0,0,2,2,1,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,1,1,0,1,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,3,0,0,3,0,0,1,2,0,0,3,0,0,0,1,0
0,0,0,0,0,1,29,5,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,4,0,0,0,0,1,0,1,1,2,1,2,0,0,2,0,0,0,0,5,0,6,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,2,1,0,0,0,0,0,0,3,0,3,0,0,11,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,4,45,1,0,0,0,1,0,2,0,1,0,2,1,2,0,0,1,10,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,1,3,0,0,0,2,1,1,0,0,1,1,0,0,4,0,0,1,0,0,1,0
0,0,2,0,0,1,1,5,43,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,1,1,4,1,4,0,0,0,1,0,0,0,0,5,4,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,2,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0
0,0,0,1,0,1,1,1,0,49,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,2,0,0,5,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,2,1,0,0,2,0,0,0,4,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,1,0,5,0,0,1,2,0,0,0,0,0,0,1,1,1,1,0,0
7,1,1,0,1,3,0,1,0,0,13,0,0,0,0,0,1,0,0,0,4,1,9,0,1,1,1,0,5,0,0,1,0,1,0,0,3,0,0,0,4,0,0,2,0,2,0,0,0,0,1,0,0,1,0,0,0,2,1,0,0,10,2,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,1,3,0,0,0,2,1,1,2,0,0,0,2,0
1,3,9,0,0,5,0,1,0,1,0,15,2,0,1,0,1,0,0,1,3,5,0,0,1,0,1,0,0,0,0,0,2,0,0,9,2,1,0,0,0,0,0,2,0,0,8,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,1,0,2,0,1,1,0,0,0,2,2,1,0,0,2,0,1,0,0,0,1,3,0
