epoch,train_loss,train_accuracy,val_loss,val_accuracy,train_seconds,validation_seconds
1,1.7841899382485285,0.3655555555555556,1.5204715728759766,0.465,83.95854510000208,5.001830399996834
2,1.4254146417193942,0.48884444444444447,1.3638373613357544,0.5224,92.79638320000231,4.364589000000706
3,1.2999158020655315,0.5396888888888889,1.2970653772354126,0.542,84.9291559000012,3.3491694000003918
4,1.2326679654015436,0.5645555555555556,1.2440009117126465,0.5636,85.5143218000012,5.385520499999984
5,1.177064137395223,0.5873111111111111,1.209560513496399,0.583,92.52671629999895,3.816833699998824
6,1.1355969377729629,0.6028666666666667,1.166577935218811,0.5966,91.25230800000281,3.4812652000000526
7,1.1000245352215237,0.6157111111111111,1.1729997396469116,0.5872,76.84055349999835,3.5706116999972437
8,1.0683781909412808,0.6268666666666667,1.1324424743652344,0.605,90.83548840000003,4.035790399997495
9,1.0453448276731703,0.6351555555555556,1.1181124448776245,0.613,89.86093419999816,4.058551900001476
10,1.0201310187445747,0.6432222222222223,1.1275821924209595,0.6062,89.55801840000277,3.634259300000849
