epoch,train_loss,train_accuracy,val_loss,val_accuracy,train_seconds,validation_seconds
1,1.6597884209103055,0.40484444444444445,1.464538335800171,0.4728,9.54226820000008,0.24269409999988056
2,1.375753680589464,0.5135111111111111,1.3288841247558594,0.5388,3.6346538000000237,0.17373350000002574
3,1.2703012482537164,0.5519555555555555,1.2692699432373047,0.554,4.026936100000057,0.2410818000000745
4,1.1997674879286024,0.5796444444444444,1.197105884552002,0.578,4.074658800000179,0.21835409999994226
5,1.1515156522750853,0.5956666666666667,1.1661120653152466,0.588,3.7618411999999353,0.1782837999999174
6,1.0986530992719863,0.6135777777777778,1.1409560441970825,0.602,3.370295100000021,0.16184739999994235
7,1.064337723075019,0.6276666666666667,1.1097369194030762,0.61,3.4021182000001318,0.3253978999998708
8,1.0299941277398004,0.64,1.0911766290664673,0.615,3.7762178999998923,0.21725900000001275
9,1.0041200217670865,0.6505777777777778,1.084625244140625,0.6136,4.785899999999856,0.3647430000000895
10,0.9748181797663371,0.6588222222222222,1.0768320560455322,0.6214,4.7488429,0.21887339999989308
