epoch,train_loss,train_accuracy,val_loss,val_accuracy,train_seconds,validation_seconds
1,4.162072243075901,0.07373333333333333,3.7984797954559326,0.1296,78.77727500000037,3.7531841000018176
2,3.5553868347591826,0.1704,3.433866024017334,0.192,78.47695670000394,3.5432182000004104
3,3.2681238499535454,0.2222,3.281653881072998,0.2194,87.80381530000159,4.206209800002398
4,3.091030261400011,0.25477777777777777,3.129013776779175,0.2392,87.05547680000018,3.9659050999980536
5,2.962116546758016,0.27746666666666664,3.0180089473724365,0.2638,80.04719869999826,3.674275299999863
6,2.866940924580892,0.29702222222222224,2.981191873550415,0.2668,88.00915110000642,4.218255599997065
7,2.793286024983724,0.30955555555555553,2.9368340969085693,0.2792,80.33012709999457,3.5752728000006755
8,2.7312358142005073,0.3244222222222222,2.901540517807007,0.2842,79.94678600000043,3.7371038000055705
9,2.6692434945848253,0.3356,2.8879692554473877,0.2906,82.32572609999625,3.7280629000015324
10,2.623308840772841,0.3449111111111111,2.8390445709228516,0.2964,77.09582370000135,3.628904799996235
11,2.575229716703627,0.35433333333333333,2.81618595123291,0.301,79.30445999999938,3.846531099996355
12,2.537804368464152,0.3626666666666667,2.8208823204040527,0.2934,81.76522620000469,3.6110638000027393
