epoch,train_loss,train_accuracy,val_loss,val_accuracy,train_seconds,validation_seconds
1,4.131872351837158,0.08875555555555556,3.6161203384399414,0.1698,14.384498300001724,0.32746639999822946
2,3.53107375225491,0.1702,3.2875571250915527,0.215,8.624874599998293,0.3282842000044184
3,3.2560486181471084,0.21466666666666667,3.0833005905151367,0.2574,8.632453800004441,0.3209110999960103
4,3.088083470450507,0.24124444444444446,2.98419189453125,0.2666,8.512035500003549,0.30554229999688687
5,2.9627647432115345,0.2655777777777778,2.9098618030548096,0.2774,8.519168899998476,0.3234745000008843
6,2.867925109905667,0.2856,2.8283350467681885,0.2934,8.655541399995855,0.3590200000035111
7,2.7853141599443223,0.30235555555555554,2.7876152992248535,0.3106,8.721548199995595,0.33271110000350745
8,2.719649422793918,0.31244444444444447,2.795353412628174,0.3074,8.624584799996228,0.3456388999984483
9,2.6723965338812934,0.3215777777777778,2.7762105464935303,0.306,8.778322899997875,0.32550110000011045
10,2.6146051671769883,0.3321777777777778,2.7809460163116455,0.3072,8.697698799995123,0.34561740000208374
11,2.5790176945580376,0.3401111111111111,2.6950109004974365,0.327,8.785518900003808,0.35999050000100397
12,2.5313088638305663,0.34686666666666666,2.6834070682525635,0.3244,8.906221599994751,0.3514320000031148
