158,51,2,6,6,21,10,15,21,19,22,22,32,19,12,28,29,4,13,10
27,216,28,9,18,11,19,8,12,21,15,4,23,10,11,24,18,2,12,12
0,12,326,6,58,4,10,12,7,2,5,2,6,13,6,6,5,6,10,4
2,14,9,223,23,78,40,12,3,8,11,3,8,9,17,5,5,3,13,14
0,11,45,19,265,5,25,24,13,1,10,11,14,18,6,9,10,5,4,5
9,8,13,42,15,216,43,6,11,11,11,8,8,9,13,15,12,2,22,26
4,10,4,24,7,32,302,3,3,14,17,5,6,12,12,4,9,0,15,17
7,8,28,9,10,7,6,243,18,4,9,9,14,30,5,32,18,7,10,26
19,5,5,5,6,19,24,13,157,9,14,48,78,13,7,27,28,5,8,10
6,11,0,2,2,6,15,1,8,310,56,10,4,6,1,1,4,12,24,21
7,11,1,1,7,9,8,3,6,41,353,5,5,2,2,2,4,14,3,16
11,6,4,5,8,9,14,19,40,28,7,190,51,17,7,24,25,6,9,20
7,9,4,6,8,9,13,13,43,13,5,45,211,14,16,16,35,2,14,17
16,25,15,18,17,19,33,36,20,6,21,21,25,115,12,35,26,4,29,7
3,8,26,14,12,30,40,12,14,10,6,18,17,15,215,16,24,1,9,10
31,21,8,7,6,28,25,30,25,13,15,21,31,30,11,109,27,9,25,28
16,23,12,13,11,20,22,21,33,9,14,30,66,25,27,24,116,3,6,9
7,2,3,0,5,10,4,6,5,22,48,7,4,5,1,4,2,344,8,13
4,4,7,1,5,13,11,9,5,47,18,3,8,8,1,7,2,6,258,83
6,4,4,7,2,12,13,8,2,46,20,10,12,7,1,13,5,3,57,268
