label,support,precision,recall
0,980,0.9858585858585859,0.9959183673469387
1,1135,0.9921328671328671,1.0
2,1032,0.9941634241245136,0.9903100775193798
3,1010,0.9940711462450593,0.996039603960396
4,982,0.9898167006109979,0.9898167006109979
5,892,0.985539488320356,0.9932735426008968
6,958,0.9947368421052631,0.9864300626304802
7,1028,0.9826756496631376,0.9931906614785992
8,974,0.9948186528497409,0.9856262833675564
9,1009,0.9889001009081736,0.9712586719524281
