dataset,ablation,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,delta_vs_full_mean_pp,delta_vs_full_std_pp,parameter_count,seed42_delta_pp,seed7_delta_pp,seed2026_delta_pp
cifar10,no_bn,0.6217,0.0055018178813915925,0.6195344736993658,0.0046653675996219755,-3.0366666666666653,0.547205019470154,69962,-3.279999999999994,-2.410000000000001,-3.420000000000001
cifar10,no_dropout,0.6499,0.006321392251711669,0.646740516572303,0.008946852455657737,-0.216666666666665,0.5828664798505193,70170,0.33000000000000806,-0.15000000000000568,-0.8299999999999974
cifar10,no_skip,0.6561,0.003758989225842476,0.6565560403484523,0.0032485730166037312,0.4033333333333333,0.32654759734735683,70170,0.7099999999999995,0.43999999999999595,0.060000000000004494
cifar100,no_bn,0.26156666666666667,0.0183303937037188,0.24217829408429795,0.016839595470905123,-6.25,1.545444919756123,75812,-7.250000000000001,-4.469999999999996,-7.030000000000003
cifar100,no_dropout,0.3142333333333333,0.005839805932848549,0.3062049316805214,0.008586869351084582,-0.9833333333333343,0.33545988334424154,76020,-1.369999999999999,-0.8099999999999996,-0.770000000000004
cifar100,no_skip,0.3265,0.005026927491022735,0.31765439005903157,0.007713655300911021,0.24333333333333243,0.7966387721755277,76020,0.8799999999999975,-0.6500000000000006,0.5000000000000004
