dataset,backend,mean_gain_pp,sd_gain_pp,positive_seeds,seed42_gain_pp,seed7_gain_pp,seed2026_gain_pp
mnist,numpy,0.27333333333332915,0.03785938897200156,3,0.22999999999999687,0.28999999999999027,0.30000000000000027
mnist,pytorch,0.30999999999999917,0.07937253933193947,3,0.40000000000000036,0.28000000000000247,0.24999999999999467
mnist,tensorflow,0.19000000000000128,0.13114877048603657,3,0.07000000000000339,0.32999999999999696,0.17000000000000348
cifar10,numpy,2.5433333333333343,0.8931032041893826,3,3.280000000000005,1.5499999999999958,2.8000000000000025
cifar10,pytorch,2.8666666666666654,0.9108421012081744,3,2.2299999999999986,2.4600000000000066,3.9099999999999913
cifar10,tensorflow,3.1800000000000015,1.4823292481766648,3,3.0100000000000016,1.7900000000000027,4.74
cifar100,numpy,4.1099999999999985,3.0407893711995255,3,4.1899999999999995,1.0299999999999976,7.109999999999999
cifar100,pytorch,3.3299999999999996,1.7000882330043947,3,3.310000000000002,1.639999999999997,5.04
cifar100,tensorflow,4.1000000000000005,2.331608886584539,3,4.0000000000000036,1.8199999999999994,6.479999999999997
