dataset,backend,variant,seed,ablation,accuracy,macro_precision,macro_recall,macro_f1,top5_accuracy,test_loss,best_epoch,best_val_loss,parameter_count,train_seconds,validation_seconds,test_seconds,folder
cifar10,tensorflow,baseline,42,,0.6301,0.6293583897737494,0.6300999999999999,0.6264404742289251,0.9636,1.0536144971847534,10,1.065341591835022,67642,33.10936189999995,2.5231134999999085,0.6293158000000858,results/cifar10_tensorflow_baseline
cifar10,tensorflow,improved,42,,0.6602,0.662614142136904,0.6602,0.6587967461451301,0.9683,0.9631780385971069,8,0.9607269763946533,70170,44.21590160000005,2.564989500000138,0.4890867999999955,results/cifar10_tensorflow_improved
cifar100,numpy,baseline,42,,0.2823,0.29791381741788525,0.2823,0.2735356782527482,0.5795,2.9223222732543945,12,2.948519229888916,73492,1195.8336056000003,50.60198109999965,8.500315499999942,results/cifar100_numpy_baseline
cifar100,numpy,improved,42,,0.3242,0.3219177255174802,0.32419999999999993,0.31680670557094126,0.6302,2.680800676345825,12,2.6916356086730957,76020,2044.6105360000006,78.29523630000222,10.678377100000034,results/cifar100_numpy_improved
cifar100,pytorch,baseline,42,,0.2884,0.2918309823381622,0.2884,0.2773032131014429,0.5888,2.885165214538574,12,2.90659499168396,73492,56.8909208,2.8151703000000907,0.4547888999998122,results/cifar100_pytorch_baseline
cifar100,pytorch,improved,42,,0.3215,0.3147501616255677,0.3215,0.3098218295610212,0.6235,2.697511672973633,11,2.705066204071045,76020,113.4164609000004,3.6973362000003362,0.5409495000001243,results/cifar100_pytorch_improved
cifar100,tensorflow,baseline,42,,0.2854,0.29012078123852336,0.28540000000000004,0.27437533609317116,0.5819,2.907139539718628,11,2.92801570892334,73492,42.63429960000019,3.114896700000145,0.7087721999999985,results/cifar100_tensorflow_baseline
cifar100,tensorflow,improved,42,,0.3254,0.31475124760142603,0.3253999999999999,0.3127305397536799,0.6285,2.690552234649658,11,2.6942574977874756,76020,51.9936481999996,3.256840400000101,0.5110290000000077,results/cifar100_tensorflow_improved
mnist,numpy,baseline,7,,0.9844,0.9845814510395634,0.9842452779074714,0.9843863943663124,0.9999,0.04545460641384125,5,0.06045481935143471,52138,312.50103650000165,13.798143700001674,4.60300659999848,results/multiseed/seed_7/mnist_numpy_baseline
mnist,numpy,improved,7,,0.9873,0.98739622496703,0.9871828088575134,0.9872724207575555,0.9997,0.0386732742190361,5,0.04877851530909538,54666,696.3937179999957,28.989410500002123,9.515891399998509,results/multiseed/seed_7/mnist_numpy_improved
mnist,pytorch,baseline,7,,0.9843,0.9844571967985336,0.9841499292517437,0.9842780004066677,0.9999,0.04492606967687607,5,0.0590127669274807,52138,29.834321800000907,0.5602595999989717,0.2096373999993375,results/multiseed/seed_7/mnist_pytorch_baseline
mnist,pytorch,improved,7,,0.9871,0.9871830926069152,0.9869306337148339,0.9870361486397444,0.9997,0.037327125668525696,5,0.049662575125694275,54666,48.56629049999901,1.0511322999991535,0.3872580999995989,results/multiseed/seed_7/mnist_pytorch_improved
mnist,tensorflow,baseline,7,,0.9844,0.9845766789846826,0.9842486968860152,0.9843815281680206,0.9999,0.045090142637491226,5,0.05959956347942352,52138,24.304505099997186,0.9781540999974823,0.2896484999982931,results/multiseed/seed_7/mnist_tensorflow_baseline
mnist,tensorflow,improved,7,,0.9877,0.987788322082857,0.9875721435840334,0.9876642372925399,0.9996,0.04003971070051193,5,0.0495883971452713,54666,36.90422910000052,1.743609600001946,0.4058124000002863,results/multiseed/seed_7/mnist_tensorflow_improved
cifar10,numpy,baseline,7,,0.6318,0.6364780493212605,0.6317999999999999,0.6305759819318965,0.963,1.059981107711792,10,1.0473681688308716,67642,873.4198598999938,39.488004600007116,7.420204200003354,results/multiseed/seed_7/cifar10_numpy_baseline
cifar10,numpy,improved,7,,0.6473,0.6440671065065131,0.6473000000000001,0.6428909121359266,0.9707,0.9843465685844421,7,0.9690743088722229,70170,1535.69274280002,64.35335450000639,14.315278599999147,results/multiseed/seed_7/cifar10_numpy_improved
cifar10,pytorch,baseline,7,,0.6274,0.6344442938178845,0.6274000000000001,0.627003323175086,0.964,1.0671498775482178,10,1.0530263185501099,67642,50.74786609999501,2.3135906999959843,0.6894458000024315,results/multiseed/seed_7/cifar10_pytorch_baseline
cifar10,pytorch,improved,7,,0.652,0.6623861168904355,0.652,0.6508174176743479,0.9693,0.99692702293396,9,0.9621255993843079,70170,116.73681839999699,3.7621603999941726,0.9881730000015523,results/multiseed/seed_7/cifar10_pytorch_improved
cifar10,tensorflow,baseline,7,,0.6302,0.634543199736755,0.6302000000000001,0.6286671247043661,0.9622,1.0651066303253174,10,1.0561028718948364,67642,58.40067660000204,3.5836647000032826,0.6794902999972692,results/multiseed/seed_7/cifar10_tensorflow_baseline
cifar10,tensorflow,improved,7,,0.6481,0.6507781967868913,0.6481,0.6460542905890458,0.9702,0.9938325881958008,10,0.9722892642021179,70170,73.1713622999996,4.474986000001081,0.84868970000025,results/multiseed/seed_7/cifar10_tensorflow_improved
cifar100,numpy,baseline,7,,0.311,0.3101305835147496,0.311,0.29686613237708315,0.6099,2.8117544651031494,11,2.81618595123291,73492,980.9380227000074,45.487987300002715,7.239516300003743,results/multiseed/seed_7/cifar100_numpy_baseline
cifar100,numpy,improved,7,,0.3213,0.31825636940322943,0.3213,0.30895719354805967,0.6169,2.719601631164551,11,2.7595722675323486,76020,1732.657732499989,72.87359410001227,12.392738599999575,results/multiseed/seed_7/cifar100_numpy_improved
cifar100,pytorch,baseline,7,,0.3109,0.31284815598289134,0.3109,0.29784183277765874,0.6113,2.8032259941101074,11,2.807009696960449,73492,65.5630009000015,3.4045592000038596,0.6191447000019252,results/multiseed/seed_7/cifar100_pytorch_baseline
cifar100,pytorch,improved,7,,0.3273,0.3282491666881824,0.32730000000000004,0.32062751473835227,0.6252,2.688246250152588,12,2.7097301483154297,76020,135.9315506999992,4.746694299996307,0.7285588999984611,results/multiseed/seed_7/cifar100_pytorch_improved
cifar100,tensorflow,baseline,7,,0.3058,0.30244721041113265,0.30579999999999996,0.29079202818743066,0.6116,2.812471389770508,11,2.809281587600708,73492,62.48525430000154,4.305090200006816,0.6665011999975832,results/multiseed/seed_7/cifar100_tensorflow_baseline
cifar100,tensorflow,improved,7,,0.324,0.3191092723097967,0.324,0.31247098674301893,0.627,2.693732500076294,9,2.7084405422210693,76020,89.28299250000782,5.301116100006766,0.8105074000013701,results/multiseed/seed_7/cifar100_tensorflow_improved
mnist,numpy,baseline,2026,,0.9851,0.9851086592944244,0.985031186389923,0.9850258975269786,0.9999,0.04245501011610031,5,0.05166362598538399,52138,310.5394590000069,13.981706299997313,4.725733499999478,results/multiseed/seed_2026/mnist_numpy_baseline
mnist,numpy,improved,2026,,0.9881,0.9880959992813617,0.9880383211666341,0.9880551988266169,1.0,0.0352238230407238,5,0.04209809750318527,54666,699.7470755000031,28.34902150000198,9.432860099997924,results/multiseed/seed_2026/mnist_numpy_improved
mnist,pytorch,baseline,2026,,0.9854,0.9853709930774753,0.985322800738387,0.9853124119115559,0.9999,0.04158173128962517,5,0.05144476145505905,52138,32.741823600004864,0.7646314000012353,0.2681565999992017,results/multiseed/seed_2026/mnist_pytorch_baseline
mnist,pytorch,improved,2026,,0.9879,0.9878452582197259,0.9877378083723084,0.9877704384936477,1.0,0.036130327731370926,5,0.045482564717531204,54666,65.51036329999988,1.9096523999978672,0.6360146999977587,results/multiseed/seed_2026/mnist_pytorch_improved
mnist,tensorflow,baseline,2026,,0.9849,0.9848539633422304,0.9847614297505711,0.9847685786063838,0.9999,0.04105982184410095,5,0.04959670081734657,52138,33.34445929999856,1.436403200001223,0.3919127000008302,results/multiseed/seed_2026/mnist_tensorflow_baseline
mnist,tensorflow,improved,2026,,0.9866,0.9865901793683861,0.9865675591784859,0.9865546277326309,0.9999,0.037311241030693054,3,0.044208165258169174,54666,44.44367229999989,1.8638283999971463,0.4732101000008697,results/multiseed/seed_2026/mnist_tensorflow_improved
cifar10,numpy,baseline,2026,,0.6167,0.614754653425911,0.6167,0.6125378975609014,0.9575,1.1034467220306396,9,1.1181124448776245,67642,878.0724248000079,40.698421499993856,8.338256899998669,results/multiseed/seed_2026/cifar10_numpy_baseline
cifar10,numpy,improved,2026,,0.6447,0.6506370213364504,0.6446999999999999,0.6456834487856709,0.9653,1.0068243741989136,8,0.9861525297164917,70170,1534.8624595000038,62.999655899988284,14.866031400000793,results/multiseed/seed_2026/cifar10_numpy_improved
