dataset,architecture,best_val_loss,final_train_loss
mnist,Pilot: no Dense BN,0.0502116754651069,0.0573371389958005
mnist,Final: with Dense BN,0.0459403060376644,0.036457587301933
cifar10,Pilot: no Dense BN,1.0943483114242554,1.180462246237861
cifar10,Final: with Dense BN,0.9607269763946532,0.8290253946622212
cifar100,Pilot: no Dense BN,3.744223117828369,3.924584111022949
cifar100,Final: with Dense BN,2.694257497787476,2.532792520099216
