epoch,train_loss,train_accuracy,val_loss,val_accuracy,train_seconds,validation_seconds
1,1.593760928132799,0.432,1.2947651147842407,0.5418,17.202533000003314,0.9632878999982495
2,1.2662104496426052,0.5468444444444445,1.148195505142212,0.5908,6.3445016000005126,0.402709900001355
3,1.1532903703477648,0.5913333333333334,1.138904094696045,0.5936,6.419472000001406,0.44049529999756487
4,1.0686127187305026,0.6218888888888889,1.0760232210159302,0.6152,6.381955899996683,0.38877340000180993
5,1.0151196011331347,0.6395111111111111,1.0260876417160034,0.6332,6.314625499999238,0.38850579999780166
6,0.969326627031962,0.6557111111111111,1.0051982402801514,0.645,6.437093500000628,0.3698435999976937
7,0.926674424510532,0.6716888888888889,0.9779959917068481,0.6528,6.454411800001253,0.39198229999965406
8,0.8977208842383491,0.6829777777777778,0.9779618978500366,0.6544,6.201696600001014,0.46724840000024415
9,0.8670046554459466,0.6917111111111112,0.9766041040420532,0.6604,6.237208700000338,0.3878029000006791
10,0.843805153910319,0.7009111111111112,0.9474851489067078,0.6664,6.219161800003349,0.3713619000009203
