epoch,train_loss,train_accuracy,val_loss,val_accuracy,train_seconds,validation_seconds
1,1.660106433338589,0.4048888888888889,1.4627290964126587,0.4722,43.095112499999914,1.9015933000000587
2,1.376717558479309,0.5127111111111111,1.3294512033462524,0.5366,43.79837329999998,2.297233399999982
3,1.2709596107059056,0.5522666666666667,1.270385503768921,0.5548,47.61806960000001,2.172365300000024
4,1.200415897009108,0.5781555555555555,1.1979880332946777,0.5792,53.22554780000007,2.1607102999998915
5,1.1534755121866862,0.5942888888888889,1.1681758165359497,0.586,49.03874500000006,2.391819899999973
6,1.1019362140549553,0.6130444444444444,1.144685983657837,0.6046,54.89089820000004,2.053789300000062
7,1.065233953921,0.6263555555555556,1.107762336730957,0.6092,62.17551160000016,5.128379600000017
8,1.0301498923407661,0.6399777777777778,1.0926408767700195,0.6164,93.37489659999983,3.903529499999877
9,1.0034589340421889,0.6501777777777777,1.0873000621795654,0.6218,86.6987368,3.805991400000039
10,0.9734732634438409,0.6574888888888889,1.0713987350463867,0.6254,97.99769360000005,4.685528599999998
