epoch,train_loss,train_accuracy,val_loss,val_accuracy,train_seconds,validation_seconds
1,1.8198126302083333,0.3310666666666667,1.5089473724365234,0.46,14.696285099998931,0.27423930000077235
2,1.5203932714674209,0.4468,1.363120675086975,0.514,5.75544500000251,0.2791010000000824
3,1.403159666167365,0.49002222222222225,1.2986640930175781,0.5522,5.028519399995275,0.2977498000036576
4,1.3381567322413126,0.5163555555555556,1.2633897066116333,0.5488,5.803258499996446,0.24596019999444252
5,1.2890562055163914,0.5355555555555556,1.2357829809188843,0.5568,5.270184400003927,0.31146159999480005
6,1.2554024948120117,0.5487777777777778,1.1810675859451294,0.576,5.541890300002706,0.352050399997097
7,1.215100244670444,0.5643555555555556,1.1643513441085815,0.5828,4.987163199999486,0.2652553000007174
8,1.186342470105489,0.5728,1.1500662565231323,0.5866,4.177766699998756,0.23701389999769162
9,1.1630354180547926,0.5816,1.106479525566101,0.609,4.237152800000331,0.2558173999932478
10,1.1373874443478054,0.5921111111111111,1.094190001487732,0.6118,4.935538899997482,0.2582659999970929
