epoch,train_loss,train_accuracy,val_loss,val_accuracy,train_seconds,validation_seconds
1,1.6434558524873522,0.42231111111111114,1.3270609378814697,0.5316,22.12521320000087,0.39062009999906877
2,1.2617120190090603,0.5504,1.1647138595581055,0.5936,11.263911299996835,0.3540671000009752
3,1.1340432135476006,0.5956444444444444,1.1137433052062988,0.6024,12.325418500000524,0.404070500000671
4,1.0549038229200576,0.6238888888888889,1.0390475988388062,0.6328,10.336466600001586,0.31529609999779495
5,1.0010145586649577,0.6430666666666667,1.0641554594039917,0.628,10.058860299999651,0.37514630000077887
6,0.9560192335446676,0.6606,0.9912927746772766,0.6462,10.467006200000469,0.37544680000064545
7,0.9168041244718763,0.6761777777777778,0.9962274432182312,0.646,10.20897479999985,0.36484769999879063
8,0.8852960232098898,0.6852444444444444,0.9838890433311462,0.6566,9.891382599998906,0.3596774999969057
9,0.8543806273778279,0.6963333333333334,0.9621255993843079,0.6574,10.205605899998773,0.4166512999981933
10,0.8309661076651679,0.7056444444444444,0.9722784161567688,0.6598,9.853978999999526,0.4063370000003488
