epoch,train_loss,train_accuracy,val_loss,val_accuracy,train_seconds,validation_seconds
1,1.5858946200264825,0.43477777777777776,1.3540512323379517,0.52,11.234362800000099,0.5839281000000938
2,1.2531269094255235,0.5536222222222222,1.1532481908798218,0.5896,3.9533539999999903,0.2208766999999625
3,1.1279904868655735,0.5984444444444444,1.085273027420044,0.6134,3.5840316999999686,0.21707790000004934
4,1.0500648762808906,0.6283333333333333,1.1053643226623535,0.602,3.6149891000000025,0.2299334000001636
5,0.9942357604132758,0.6455333333333333,1.0229681730270386,0.6352,3.590014500000052,0.2268423000000439
6,0.9537787130991617,0.6634444444444444,1.0068721771240234,0.6484,3.6192054000000553,0.2149779999999737
7,0.9092731833246019,0.6778222222222222,1.0635995864868164,0.6236,3.625521400000025,0.2187853999998879
8,0.8828656038284302,0.6882222222222222,0.9607269763946533,0.6628,3.616354000000001,0.2233578000000307
9,0.8523298630078634,0.6995555555555556,0.9665897488594055,0.666,3.7024145999998836,0.21299599999997554
10,0.8290253946622212,0.7074,1.0683661699295044,0.6312,3.6756540999999743,0.216213899999957
