53,1,1,0,0,0,2,0,0,0,3,0,0,0,1,0,1,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,1,3,0,0,6,0,0,0,1,3,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
0,39,1,1,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3,1,1,0,0,0,1,2,6,0,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,4,2,0,1,3,1,0,0,0,2,1,2,0,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,3,1,2,0,0,0,0,0,2
2,1,25,1,0,5,4,0,1,0,1,2,0,0,0,0,0,0,0,1,2,0,0,2,0,0,4,0,0,0,1,0,2,0,0,7,6,0,0,1,0,0,1,2,1,2,3,0,1,0,0,0,0,0,3,0,0,3,0,0,0,1,0,0,0,2,0,0,0,2,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1
0,0,0,21,11,0,2,1,1,0,0,0,0,0,3,0,0,0,2,1,0,5,0,1,0,0,1,2,0,0,2,7,0,1,3,1,1,0,2,0,0,1,0,2,0,0,0,0,2,1,0,0,1,0,0,0,2,0,2,0,0,0,0,2,0,1,0,0,0,0,0,0,3,0,1,4,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,3,0,0
0,1,0,9,14,0,0,0,2,0,0,0,0,0,1,1,1,0,0,2,1,0,0,0,3,0,1,5,0,0,2,0,1,5,4,0,1,0,2,1,0,1,2,5,0,2,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,1,3,0,0,0,0,3,0,6,1,0,0,2,0,3,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0
1,2,2,0,3,36,0,0,0,0,2,1,1,1,0,0,1,0,0,0,2,0,1,6,2,7,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,2,0,0,1,0,0,1,3,0,1,1,0,1,7,0,0,0,0,0,0,0,1
0,2,3,1,0,0,34,2,1,0,0,0,0,0,3,2,0,0,2,0,0,0,0,0,3,1,1,0,0,6,1,0,0,0,5,0,1,0,3,0,0,0,0,1,2,0,0,0,1,0,1,0,0,1,2,0,2,0,0,0,0,0,0,2,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,4,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,1,3,18,6,0,0,0,0,0,3,0,1,0,4,0,2,0,0,1,13,0,2,0,0,0,1,0,0,2,1,0,1,0,0,0,0,2,0,0,3,4,0,0,1,0,0,0,0,0,1,0,3,1,1,0,0,0,2,0,0,0,1,2,0,0,0,0,0,0,3,0,0,1,2,3,0,0,2,1,0,2,1,0,0,1,1,0,1,0,0,1,0,0,0,0
0,0,1,0,0,2,0,0,43,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,3,0,0,4,1,0,0,1,1,0,0,0,0,0,4,4,0,0,1,0,0,0,6,0,3,0,0,0,0,1,1,0,1,0,2,1,0,0,0,1,1,1,0,0,2,1,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0,0,1,0,0,0
0,0,1,3,0,1,0,1,1,37,0,0,1,0,1,0,3,1,0,0,0,1,0,0,1,1,1,0,2,0,0,0,1,1,0,1,2,1,0,0,2,1,0,0,0,1,1,0,1,1,0,0,0,0,1,1,3,7,0,0,0,1,1,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,2,1,0,0,1,0,0,0,0,0,0,2,0
